电影,评论人数,豆瓣评分
死侍2,52207,7.6
燃烧,78031,7.9
犬之岛,105918,8.3
鬼故事,6458,7.1
厕所英雄,38535,7.1
塔利,5639,7.6
复仇者联盟3：无限战争,354978,8.2
泄密者,13711,5.4
寂静之地,132397,6.3
猛虫过江,22722,3.7
